age,gender,mouse_type,intercept,outcome,std_residuals
392.0178311459976,-43.95074944678342,5442.128694451059,9132.600308585585,connect_the_dots_I_time_msec,7935.707764322093
734.6410128340759,-2384.552767229579,4287.318044471531,14114.738839736403,connect_the_dots_II_time_msec,18080.721888574484
-0.14622278016320556,-5.080059347227949,-1.2877169562638056,62.096607373046446,wordlist_correct_words,10.955295403638326
1.6684789403504385,-15.212896917763915,10.304059012476928,216.60386845347782,avg_reaction_speed,57.51633238516301
0.23145356758916227,-3.178340487704434,-0.06217866465305355,14.489133807889335,place_the_beads_total_extra_moves,15.22654354227748
-0.028510270659895573,0.38993181811755884,-0.20486166264278663,10.988631408355756,box_tapping_total_correct,1.5742693728415738
580.6368099207082,86.10262360056645,12093.78805493674,24199.422243429937,fill_the_grid_total_time,12476.405826698081
-0.04495012281285384,-1.4280236726674307,-0.3918978764877118,13.938137201297476,wordlist_delayed_correct_words,3.191633074439921
-0.0137869562870159,-0.518070150118631,-0.003124395806462288,29.99521455560978,wordlist_recognition_correct_words,1.4454719280157307
-0.02421677054614957,0.20945497474702301,-0.3258513904560189,13.361436216672637,digit_sequence_1_correct_series,2.2395024113543816
-0.026404129273705838,0.2567777020956697,-0.486986742709281,11.531231632733178,digit_sequence_2_correct_series,2.88841591011407
333.6846090182888,-1989.1176168387353,-993.5643125799797,5162.954165866893,connect_the_dots_difference,14981.650934495414
297.9417061747017,5896.518895711224,1741.8274452891042,-538.2438575037589,typeskill_time,9226.99531061301
240.61988002643687,-1058.0554628894681,5987.299596817091,7940.88332543691,clickskill_time,6845.764206008404
242.58761490963607,-1026.5310258820805,3630.2588046883907,16337.852086794606,dragskill_time,7037.136255155217
